title,price,rating,reviews,availablity,image_url
"Plastic-Plant-Flower-Planters-10 Inch with Drainage Hole & Saucer, 3 Packs Lightweight Small Resin Flower Pot Indoor Outdoor, Retro Antique Imitation Decorative Garden Containers Sets for Houseplants",$18.99,4.6 out of 5 stars,"3,065 ratings",In Stock,https://m.media-amazon.com/images/I/81W474zuoLL.__AC_SX300_SY300_QL70_ML2_.jpg
"Abstract Face Planters Pots Head,Unique Head Planter for Indoor Plants,Funny Face Flower Pot,Colorful Plant Pots for Outdoor Garden Decor and Home Art Decoration(Classic)",$27.71,4.8 out of 5 stars,515 ratings,In Stock,https://m.media-amazon.com/images/I/71R7IVeIITL.__AC_SX300_SY300_QL70_ML2_.jpg
"4 Pack 10 Inch Retro Plant Pots, Vintage Striped Flower Pots with Drainage Hole & Saucer, Large Plastic Planters for Indoor and Outdoor Plants, Decorative Garden Pots(Copper)",$24.99,4.7 out of 5 stars,42 ratings,In Stock,https://m.media-amazon.com/images/I/81xdK08o9XL.__AC_SX300_SY300_QL70_ML2_.jpg
"5 Pack 10.5 inch Plant Pots,Planter-Pots-for-Plants，Plastic Flower Pot for Indoor Outdoor Plants with Drainage Holes & Trays, Decorative Garden Containers Sets for Houseplants",$18.99,4.6 out of 5 stars,299 ratings,In Stock,https://m.media-amazon.com/images/I/715ll3+JOPL._AC_SY300_SX300_QL70_ML2_.jpg
"GARDIFE Plant Pots 7/6.5/6/5.5/5 Inch Self Watering Planters with Drainage Hole, Plastic Flower Pots, Nursery Planting Pot for All House Plants, African Violet, Flowers, and Cactus,Green",$19.99,4.6 out of 5 stars,"4,142 ratings",In Stock,https://m.media-amazon.com/images/I/61fk-CPe61L.__AC_SX300_SY300_QL70_ML2_.jpg
"Elly Décor 12 inch Plastic Cylinder Planter Pot with Self-Watering Saucer and Drainage Hole,Lightweight & Extremely Durable, 12""x 12"", Black",$26.24,4.6 out of 5 stars,677 ratings,In Stock,https://m.media-amazon.com/images/I/71AC+SxNetL._AC_SY300_SX300_QL70_ML2_.jpg
"Plant Pots with Drainage Holes and Saucers – 7, 6.5, 6, 5, 4 Inch Plastic Planters for Indoor Outdoor Plants, Modern Matte Finish, Lightweight & Durable（Black）",$16.99,4.5 out of 5 stars,91 ratings,In Stock,https://m.media-amazon.com/images/I/61bLqrnwEFL.__AC_SX300_SY300_QL70_ML2_.jpg
"Plant Pots Indoor 7/6.5/6/5.5/5 Inch Self Watering Planters for Indoor Plants with Drainage Hole, Plastic Flower Pots for Succulents, African Violet (Green)",$16.99,4.6 out of 5 stars,"1,949 ratings",In Stock,https://m.media-amazon.com/images/I/61Sj9LlYqEL.__AC_SX300_SY300_QL70_ML2_.jpg
"VIVOSUN 5-Pack 15 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles",$26.99,4.6 out of 5 stars,"61,337 ratings",Only 18 left in stock - order soon.,https://m.media-amazon.com/images/I/81gCJJns9FL.__AC_SX300_SY300_QL70_ML2_.jpg
"Set of 8 Plastic Planter, 10/9/8/7.5/6.5/5.7/5/4inch Plastic Planter, Flower Pot Indoor Decorative Large Plant Pot, Plant Pots Indoor with Drainage and Saucer for All House Plants (Set of 8)",$17.20,4.6 out of 5 stars,161 ratings,In Stock,https://m.media-amazon.com/images/I/71g7MqMacxL.__AC_SX300_SY300_QL70_ML2_.jpg
"WOUSIWER 16 Pack 6 inch Plastic Planters for Indoor Flower Pots, Heavy Duty and Stylish 6 Inch Plant Pots for Indoor Plants with Drainage Holes and Tray for Plants, Flowers, Black",$21.99,4.8 out of 5 stars,"2,593 ratings",In Stock,https://m.media-amazon.com/images/I/71NHbNwLFCL.__AC_SX300_SY300_QL70_ML2_.jpg
"vancasso Ceramic Plant Pots, 4+5+6 inches, Set of 3, Planters with Drainage Hole, Flower Pots Planters Pots for Indoor Plants, Modern Indoor Decorative Garden Pot, Home Decor, White",$26.99,4.7 out of 5 stars,43 ratings,Only 1 left in stock - order soon.,https://m.media-amazon.com/images/I/71rthCFrPWL.__AC_SX300_SY300_QL70_ML2_.jpg
"16 Inch Large Outdoor Plant Pot, 4 Pack Thickened Flower Pots with Drainage Holes & Saucer, Pebbles Pattern Design Tree Planters Outdoor for Garden Porch Home",$37.99,4.6 out of 5 stars,381 ratings,In Stock,https://m.media-amazon.com/images/I/717cvpsCNgL.__AC_SX300_SY300_QL70_ML2_.jpg
